A021,Diego Peña,38,diego.pena@email.com,1113
A022,Natalia Torres,30,natalia.torres@email.com,1113
A023,Julio Vasquez,35,julio.vasquez@email.com,1113
A024,Marcela Cordero,28,marcela.cordero@email.com,1113
A025,Ignacio Valenzuela,32,ignacio.valenzuela@email.com,1113
A026,Monica Fernandez,25,monica.fernandez@email.com,1113
A027,Jorge Campos,36,jorge.campos@email.com,1113
A028,Antonia Castro,22,antonia.castro@email.com,1113
A029,Renato Lagos,39,renato.lagos@email.com,1113
A030,Luis Salazar,30,luis.salazar@email.com,1113
A011,Elena Vargas,24,elena.vargas@email.com,1112
A012,Felipe Garcia,35,felipe.garcia@email.com,1112
A013,Manuel Soto,40,manuel.soto@email.com,1112
A014,Andrea Reyes,29,andrea.reyes@email.com,1112
A015,Patricia Leiva,31,patricia.leiva@email.com,1112
A016,Oscar Medina,26,oscar.medina@email.com,1112
A017,Daniela Pizarro,28,daniela.pizarro@email.com,1112
A018,Francisco Ibarra,27,francisco.ibarra@email.com,1112
A019,Sofia Alarcon,33,sofia.alarcon@email.com,1112
A020,Matias Bravo,29,matias.bravo@email.com,1112
A001,Juan Perez,25,juan.perez@email.com,1111
A002,Ana Soto,32,ana.soto@email.com,1111
A003,Pedro Diaz,28,pedro.diaz@email.com,1111
A004,Lucia Morales,23,lucia.morales@email.com,1111
A005,Raul Jimenez,30,raul.jimenez@email.com,1111
A006,Carla Fuentes,27,carla.fuentes@email.com,1111
A007,Victor Rojas,34,victor.rojas@email.com,1111
A008,Laura Castillo,29,laura.castillo@email.com,1111
A009,Josefa Gutierrez,21,josefa.gutierrez@email.com,1111
A870,Remington,18,shotty870@12ga.com,1111
A556,Colt,69,m855@gmail.com,1111
